   hex | basic formatted name                              AGL name                 with extension                          range                                   uni name            
   C85 : knda-a                                            knA                      knda-a                                  Kannada                                 KANNADA LETTER A    
   D05 : mlym-a                                            mlA                      mlym-a                                  Malayalam                               MALAYALAM LETTER A  
   F68 : tibt-a                                            -                        tibt-a                                  Tibetan                                 TIBETAN LETTER A    
  1820 : mong-a                                            -                        mong-a                                  Mongolian                               MONGOLIAN LETTER A  
  3042 : hira-a                                            ahiragana                hira-a                                  Hiragana                                HIRAGANA LETTER A   
  30A2 : kata-a                                            akatakana                kata-a                                  Katakana                                KATAKANA LETTER A   
  311A : bopo-a                                            abopomofo                bopo-a                                  Bopomofo                                BOPOMOFO LETTER A   
  314F : ko-a                                              akorean                  ko-a                                    Hangul Compatibility Jamo               HANGUL LETTER A     
  A984 : java-a                                            -                        java-a                                  Javanese                                JAVANESE LETTER A   
  FF41 : fwd-a                                             afullwidth               fwd-a                                   Halfwidth and Fullwidth Forms           FULLWIDTH LATIN SMALL LETTER A
  FFC2 : hwd-a                                             -                        hwd-a                                   Halfwidth and Fullwidth Forms           HALFWIDTH HANGUL LETTER A

   906 : deva-aa                                           dvAa                     deva-aa                                 Devanagari                              DEVANAGARI LETTER AA
   986 : beng-aa                                           beAa                     beng-aa                                 Bengali                                 BENGALI LETTER AA   
   A06 : guru-aa                                           guAa                     guru-aa                                 Gurmukhi                                GURMUKHI LETTER AA  
   A86 : gujr-aa                                           gjAa                     gujr-aa                                 Gujarati                                GUJARATI LETTER AA  
   B06 : orya-aa                                           odAa                     orya-aa                                 Oriya                                   ORIYA LETTER AA     
   B86 : taml-aa                                           taAa                     taml-aa                                 Tamil                                   TAMIL LETTER AA     
   C06 : telu-aa                                           teAa                     telu-aa                                 Telugu                                  TELUGU LETTER AA    
   C86 : knda-aa                                           knAa                     knda-aa                                 Kannada                                 KANNADA LETTER AA   
   D06 : mlym-aa                                           mlAa                     mlym-aa                                 Malayalam                               MALAYALAM LETTER AA 
  A733 : aa                                                -                        aa                                      Latin Extended-D                        LATIN SMALL LETTER AA

   93E : deva-aasign                                       dvAasign                 deva-aasign                             Devanagari                              DEVANAGARI VOWEL SIGN AA
   9BE : beng-aasign                                       beAasign                 beng-aasign                             Bengali                                 BENGALI VOWEL SIGN AA
   A3E : guru-aasign                                       guAasign                 guru-aasign                             Gurmukhi                                GURMUKHI VOWEL SIGN AA
   ABE : gujr-aasign                                       gjAasign                 gujr-aasign                             Gujarati                                GUJARATI VOWEL SIGN AA
   B3E : orya-aasign                                       odAasign                 orya-aasign                             Oriya                                   ORIYA VOWEL SIGN AA 
   BBE : taml-aasign                                       taAasign                 taml-aasign                             Tamil                                   TAMIL VOWEL SIGN AA 
   C3E : telu-aasign                                       teAasign                 telu-aasign                             Telugu                                  TELUGU VOWEL SIGN AA
   CBE : knda-aasign                                       knAasign                 knda-aasign                             Kannada                                 KANNADA VOWEL SIGN AA
   D3E : mlym-aasign                                       mlAasign                 mlym-aasign                             Malayalam                               MALAYALAM VOWEL SIGN AA

   103 : abreve                                            abreve                   abreve                                  Latin Extended-A                        LATIN SMALL LETTER A WITH BREVE
   4D1 : abrevecyr                                         abrevecyr                abrevecyr                               Cyrillic                                CYRILLIC SMALL LETTER A WITH BREVE

    B4 : acute                                             acute                    acute                                   Latin-1 Supplement                      ACUTE ACCENT        
   954 : deva-acute                                        dvAcute                  deva-acute                              Devanagari                              DEVANAGARI ACUTE ACCENT
  1FFD : gr-acute                                          oxia                     gr-acute                                Greek Extended                          GREEK OXIA          

    E4 : adieresis                                         adieresis                adieresis                               Latin-1 Supplement                      LATIN SMALL LETTER A WITH DIAERESIS
   4D3 : adieresiscyr                                      adieresiscyr             adieresiscyr                            Cyrillic                                CYRILLIC SMALL LETTER A WITH DIAERESIS

    E6 : ae                                                ae                       ae                                      Latin-1 Supplement                      LATIN SMALL LETTER AE
   6D5 : ar-ae                                             arAe                     ar-ae                                   Arabic                                  ARABIC LETTER AE    
  3150 : ko-ae                                             aekorean                 ko-ae                                   Hangul Compatibility Jamo               HANGUL LETTER AE    
  FFC3 : hwd-ae                                            -                        hwd-ae                                  Halfwidth and Fullwidth Forms           HALFWIDTH HANGUL LETTER AE

   910 : deva-ai                                           dvAi                     deva-ai                                 Devanagari                              DEVANAGARI LETTER AI
   990 : beng-ai                                           beAi                     beng-ai                                 Bengali                                 BENGALI LETTER AI   
   A10 : guru-ai                                           guAi                     guru-ai                                 Gurmukhi                                GURMUKHI LETTER AI  
   A90 : gujr-ai                                           gjAi                     gujr-ai                                 Gujarati                                GUJARATI LETTER AI  
