# Braille Patterns 2800 - 28FF
28DD	braillepatterndots134578	BRAILLE PATTERN DOTS-134578
28DE	braillepatterndots234578	BRAILLE PATTERN DOTS-234578
28DF	braillepatterndots1234578	BRAILLE PATTERN DOTS-1234578
28E0	braillepatterndots678	BRAILLE PATTERN DOTS-678
28E1	braillepatterndots1678	BRAILLE PATTERN DOTS-1678
28E2	braillepatterndots2678	BRAILLE PATTERN DOTS-2678
28E3	braillepatterndots12678	BRAILLE PATTERN DOTS-12678
28E4	braillepatterndots3678	BRAILLE PATTERN DOTS-3678
28E5	braillepatterndots13678	BRAILLE PATTERN DOTS-13678
28E6	braillepatterndots23678	BRAILLE PATTERN DOTS-23678
28E7	braillepatterndots123678	BRAILLE PATTERN DOTS-123678
28E8	braillepatterndots4678	BRAILLE PATTERN DOTS-4678
28E9	braillepatterndots14678	BRAILLE PATTERN DOTS-14678
28EA	braillepatterndots24678	BRAILLE PATTERN DOTS-24678
28EB	braillepatterndots124678	BRAILLE PATTERN DOTS-124678
28EC	braillepatterndots34678	BRAILLE PATTERN DOTS-34678
28ED	braillepatterndots134678	BRAILLE PATTERN DOTS-134678
28EE	braillepatterndots234678	BRAILLE PATTERN DOTS-234678
28EF	braillepatterndots1234678	BRAILLE PATTERN DOTS-1234678
28F0	braillepatterndots5678	BRAILLE PATTERN DOTS-5678
28F1	braillepatterndots15678	BRAILLE PATTERN DOTS-15678
28F2	braillepatterndots25678	BRAILLE PATTERN DOTS-25678
28F3	braillepatterndots125678	BRAILLE PATTERN DOTS-125678
28F4	braillepatterndots35678	BRAILLE PATTERN DOTS-35678
28F5	braillepatterndots135678	BRAILLE PATTERN DOTS-135678
28F6	braillepatterndots235678	BRAILLE PATTERN DOTS-235678
28F7	braillepatterndots1235678	BRAILLE PATTERN DOTS-1235678
28F8	braillepatterndots45678	BRAILLE PATTERN DOTS-45678
28F9	braillepatterndots145678	BRAILLE PATTERN DOTS-145678
28FA	braillepatterndots245678	BRAILLE PATTERN DOTS-245678
28FB	braillepatterndots1245678	BRAILLE PATTERN DOTS-1245678
28FC	braillepatterndots345678	BRAILLE PATTERN DOTS-345678
28FD	braillepatterndots1345678	BRAILLE PATTERN DOTS-1345678
28FE	braillepatterndots2345678	BRAILLE PATTERN DOTS-2345678
28FF	braillepatterndots12345678	BRAILLE PATTERN DOTS-12345678
