# CJK Unified Ideographs Extension A 3400 - 4DBF
34EC	cjkunifiedideograph34ec	CJK UNIFIED IDEOGRAPH-34EC
34ED	cjkunifiedideograph34ed	CJK UNIFIED IDEOGRAPH-34ED
34EE	cjkunifiedideograph34ee	CJK UNIFIED IDEOGRAPH-34EE
34EF	cjkunifiedideograph34ef	CJK UNIFIED IDEOGRAPH-34EF
34F0	cjkunifiedideograph34f0	CJK UNIFIED IDEOGRAPH-34F0
34F1	cjkunifiedideograph34f1	CJK UNIFIED IDEOGRAPH-34F1
34F2	cjkunifiedideograph34f2	CJK UNIFIED IDEOGRAPH-34F2
34F3	cjkunifiedideograph34f3	CJK UNIFIED IDEOGRAPH-34F3
34F4	cjkunifiedideograph34f4	CJK UNIFIED IDEOGRAPH-34F4
34F5	cjkunifiedideograph34f5	CJK UNIFIED IDEOGRAPH-34F5
34F6	cjkunifiedideograph34f6	CJK UNIFIED IDEOGRAPH-34F6
34F7	cjkunifiedideograph34f7	CJK UNIFIED IDEOGRAPH-34F7
34F8	cjkunifiedideograph34f8	CJK UNIFIED IDEOGRAPH-34F8
34F9	cjkunifiedideograph34f9	CJK UNIFIED IDEOGRAPH-34F9
34FA	cjkunifiedideograph34fa	CJK UNIFIED IDEOGRAPH-34FA
34FB	cjkunifiedideograph34fb	CJK UNIFIED IDEOGRAPH-34FB
34FC	cjkunifiedideograph34fc	CJK UNIFIED IDEOGRAPH-34FC
34FD	cjkunifiedideograph34fd	CJK UNIFIED IDEOGRAPH-34FD
34FE	cjkunifiedideograph34fe	CJK UNIFIED IDEOGRAPH-34FE
34FF	cjkunifiedideograph34ff	CJK UNIFIED IDEOGRAPH-34FF
3500	cjkunifiedideograph3500	CJK UNIFIED IDEOGRAPH-3500
3501	cjkunifiedideograph3501	CJK UNIFIED IDEOGRAPH-3501
3502	cjkunifiedideograph3502	CJK UNIFIED IDEOGRAPH-3502
3503	cjkunifiedideograph3503	CJK UNIFIED IDEOGRAPH-3503
3504	cjkunifiedideograph3504	CJK UNIFIED IDEOGRAPH-3504
3505	cjkunifiedideograph3505	CJK UNIFIED IDEOGRAPH-3505
3506	cjkunifiedideograph3506	CJK UNIFIED IDEOGRAPH-3506
3507	cjkunifiedideograph3507	CJK UNIFIED IDEOGRAPH-3507
3508	cjkunifiedideograph3508	CJK UNIFIED IDEOGRAPH-3508
3509	cjkunifiedideograph3509	CJK UNIFIED IDEOGRAPH-3509
350A	cjkunifiedideograph350a	CJK UNIFIED IDEOGRAPH-350A
350B	cjkunifiedideograph350b	CJK UNIFIED IDEOGRAPH-350B
350C	cjkunifiedideograph350c	CJK UNIFIED IDEOGRAPH-350C
350D	cjkunifiedideograph350d	CJK UNIFIED IDEOGRAPH-350D
