# Yi Syllables A000 - A48F
A0A0	yisyllablehmox	YI SYLLABLE HMOX
A0A1	yisyllablehmo	YI SYLLABLE HMO
A0A2	yisyllablehmop	YI SYLLABLE HMOP
A0A3	yisyllablehmut	YI SYLLABLE HMUT
A0A4	yisyllablehmux	YI SYLLABLE HMUX
A0A5	yisyllablehmu	YI SYLLABLE HMU
A0A6	yisyllablehmup	YI SYLLABLE HMUP
A0A7	yisyllablehmurx	YI SYLLABLE HMURX
A0A8	yisyllablehmur	YI SYLLABLE HMUR
A0A9	yisyllablehmyx	YI SYLLABLE HMYX
A0AA	yisyllablehmy	YI SYLLABLE HMY
A0AB	yisyllablehmyp	YI SYLLABLE HMYP
A0AC	yisyllablehmyrx	YI SYLLABLE HMYRX
A0AD	yisyllablehmyr	YI SYLLABLE HMYR
A0AE	yisyllablemit	YI SYLLABLE MIT
A0AF	yisyllablemix	YI SYLLABLE MIX
A0B0	yisyllablemi	YI SYLLABLE MI
A0B1	yisyllablemip	YI SYLLABLE MIP
A0B2	yisyllablemiex	YI SYLLABLE MIEX
A0B3	yisyllablemie	YI SYLLABLE MIE
A0B4	yisyllablemiep	YI SYLLABLE MIEP
A0B5	yisyllablemat	YI SYLLABLE MAT
A0B6	yisyllablemax	YI SYLLABLE MAX
A0B7	yisyllablema	YI SYLLABLE MA
A0B8	yisyllablemap	YI SYLLABLE MAP
A0B9	yisyllablemuot	YI SYLLABLE MUOT
A0BA	yisyllablemuox	YI SYLLABLE MUOX
A0BB	yisyllablemuo	YI SYLLABLE MUO
A0BC	yisyllablemuop	YI SYLLABLE MUOP
A0BD	yisyllablemot	YI SYLLABLE MOT
A0BE	yisyllablemox	YI SYLLABLE MOX
A0BF	yisyllablemo	YI SYLLABLE MO
A0C0	yisyllablemop	YI SYLLABLE MOP
A0C1	yisyllablemex	YI SYLLABLE MEX
A0C2	yisyllableme	YI SYLLABLE ME
A0C3	yisyllablemut	YI SYLLABLE MUT
A0C4	yisyllablemux	YI SYLLABLE MUX
A0C5	yisyllablemu	YI SYLLABLE MU
A0C6	yisyllablemup	YI SYLLABLE MUP
A0C7	yisyllablemurx	YI SYLLABLE MURX
A0C8	yisyllablemur	YI SYLLABLE MUR
A0C9	yisyllablemyt	YI SYLLABLE MYT
A0CA	yisyllablemyx	YI SYLLABLE MYX
A0CB	yisyllablemy	YI SYLLABLE MY
A0CC	yisyllablemyp	YI SYLLABLE MYP
A0CD	yisyllablefit	YI SYLLABLE FIT
A0CE	yisyllablefix	YI SYLLABLE FIX
A0CF	yisyllablefi	YI SYLLABLE FI
A0D0	yisyllablefip	YI SYLLABLE FIP
A0D1	yisyllablefat	YI SYLLABLE FAT
A0D2	yisyllablefax	YI SYLLABLE FAX
A0D3	yisyllablefa	YI SYLLABLE FA
A0D4	yisyllablefap	YI SYLLABLE FAP
A0D5	yisyllablefox	YI SYLLABLE FOX
A0D6	yisyllablefo	YI SYLLABLE FO
A0D7	yisyllablefop	YI SYLLABLE FOP
A0D8	yisyllablefut	YI SYLLABLE FUT
A0D9	yisyllablefux	YI SYLLABLE FUX
A0DA	yisyllablefu	YI SYLLABLE FU
A0DB	yisyllablefup	YI SYLLABLE FUP
A0DC	yisyllablefurx	YI SYLLABLE FURX
A0DD	yisyllablefur	YI SYLLABLE FUR
A0DE	yisyllablefyt	YI SYLLABLE FYT
A0DF	yisyllablefyx	YI SYLLABLE FYX
A0E0	yisyllablefy	YI SYLLABLE FY
A0E1	yisyllablefyp	YI SYLLABLE FYP
A0E2	yisyllablevit	YI SYLLABLE VIT
A0E3	yisyllablevix	YI SYLLABLE VIX
A0E4	yisyllablevi	YI SYLLABLE VI
A0E5	yisyllablevip	YI SYLLABLE VIP
A0E6	yisyllableviet	YI SYLLABLE VIET
A0E7	yisyllableviex	YI SYLLABLE VIEX
A0E8	yisyllablevie	YI SYLLABLE VIE
A0E9	yisyllableviep	YI SYLLABLE VIEP
A0EA	yisyllablevat	YI SYLLABLE VAT
A0EB	yisyllablevax	YI SYLLABLE VAX
A0EC	yisyllableva	YI SYLLABLE VA
A0ED	yisyllablevap	YI SYLLABLE VAP
A0EE	yisyllablevot	YI SYLLABLE VOT
A0EF	yisyllablevox	YI SYLLABLE VOX
A0F0	yisyllablevo	YI SYLLABLE VO
A0F1	yisyllablevop	YI SYLLABLE VOP
A0F2	yisyllablevex	YI SYLLABLE VEX
A0F3	yisyllablevep	YI SYLLABLE VEP
A0F4	yisyllablevut	YI SYLLABLE VUT
A0F5	yisyllablevux	YI SYLLABLE VUX
A0F6	yisyllablevu	YI SYLLABLE VU
A0F7	yisyllablevup	YI SYLLABLE VUP
A0F8	yisyllablevurx	YI SYLLABLE VURX
A0F9	yisyllablevur	YI SYLLABLE VUR
A0FA	yisyllablevyt	YI SYLLABLE VYT
A0FB	yisyllablevyx	YI SYLLABLE VYX
A0FC	yisyllablevy	YI SYLLABLE VY
A0FD	yisyllablevyp	YI SYLLABLE VYP
A0FE	yisyllablevyrx	YI SYLLABLE VYRX
A0FF	yisyllablevyr	YI SYLLABLE VYR
A100	yisyllabledit	YI SYLLABLE DIT
A101	yisyllabledix	YI SYLLABLE DIX
A102	yisyllabledi	YI SYLLABLE DI
A103	yisyllabledip	YI SYLLABLE DIP
A104	yisyllablediex	YI SYLLABLE DIEX
A105	yisyllabledie	YI SYLLABLE DIE
A106	yisyllablediep	YI SYLLABLE DIEP
A107	yisyllabledat	YI SYLLABLE DAT
A108	yisyllabledax	YI SYLLABLE DAX
A109	yisyllableda	YI SYLLABLE DA
A10A	yisyllabledap	YI SYLLABLE DAP
A10B	yisyllableduox	YI SYLLABLE DUOX
A10C	yisyllableduo	YI SYLLABLE DUO
A10D	yisyllabledot	YI SYLLABLE DOT
A10E	yisyllabledox	YI SYLLABLE DOX
A10F	yisyllabledo	YI SYLLABLE DO
A110	yisyllabledop	YI SYLLABLE DOP
A111	yisyllabledex	YI SYLLABLE DEX
A112	yisyllablede	YI SYLLABLE DE
A113	yisyllabledep	YI SYLLABLE DEP
A114	yisyllabledut	YI SYLLABLE DUT
A115	yisyllabledux	YI SYLLABLE DUX
A116	yisyllabledu	YI SYLLABLE DU
A117	yisyllabledup	YI SYLLABLE DUP
A118	yisyllabledurx	YI SYLLABLE DURX
A119	yisyllabledur	YI SYLLABLE DUR
A11A	yisyllabletit	YI SYLLABLE TIT
A11B	yisyllabletix	YI SYLLABLE TIX
A11C	yisyllableti	YI SYLLABLE TI
A11D	yisyllabletip	YI SYLLABLE TIP
A11E	yisyllabletiex	YI SYLLABLE TIEX
A11F	yisyllabletie	YI SYLLABLE TIE
A120	yisyllabletiep	YI SYLLABLE TIEP
A121	yisyllabletat	YI SYLLABLE TAT
A122	yisyllabletax	YI SYLLABLE TAX
A123	yisyllableta	YI SYLLABLE TA
A124	yisyllabletap	YI SYLLABLE TAP
A125	yisyllabletuot	YI SYLLABLE TUOT
A126	yisyllabletuox	YI SYLLABLE TUOX
A127	yisyllabletuo	YI SYLLABLE TUO
A128	yisyllabletuop	YI SYLLABLE TUOP
A129	yisyllabletot	YI SYLLABLE TOT
A12A	yisyllabletox	YI SYLLABLE TOX
