# CJK Compatibility Ideographs F900 - FAFF
F9B7	cjkcompatibilityideographf9b7	CJK COMPATIBILITY IDEOGRAPH-F9B7
F9B8	cjkcompatibilityideographf9b8	CJK COMPATIBILITY IDEOGRAPH-F9B8
F9B9	cjkcompatibilityideographf9b9	CJK COMPATIBILITY IDEOGRAPH-F9B9
F9BA	cjkcompatibilityideographf9ba	CJK COMPATIBILITY IDEOGRAPH-F9BA
F9BB	cjkcompatibilityideographf9bb	CJK COMPATIBILITY IDEOGRAPH-F9BB
F9BC	cjkcompatibilityideographf9bc	CJK COMPATIBILITY IDEOGRAPH-F9BC
F9BD	cjkcompatibilityideographf9bd	CJK COMPATIBILITY IDEOGRAPH-F9BD
F9BE	cjkcompatibilityideographf9be	CJK COMPATIBILITY IDEOGRAPH-F9BE
F9BF	cjkcompatibilityideographf9bf	CJK COMPATIBILITY IDEOGRAPH-F9BF
F9C0	cjkcompatibilityideographf9c0	CJK COMPATIBILITY IDEOGRAPH-F9C0
F9C1	cjkcompatibilityideographf9c1	CJK COMPATIBILITY IDEOGRAPH-F9C1
F9C2	cjkcompatibilityideographf9c2	CJK COMPATIBILITY IDEOGRAPH-F9C2
F9C3	cjkcompatibilityideographf9c3	CJK COMPATIBILITY IDEOGRAPH-F9C3
F9C4	cjkcompatibilityideographf9c4	CJK COMPATIBILITY IDEOGRAPH-F9C4
F9C5	cjkcompatibilityideographf9c5	CJK COMPATIBILITY IDEOGRAPH-F9C5
F9C6	cjkcompatibilityideographf9c6	CJK COMPATIBILITY IDEOGRAPH-F9C6
F9C7	cjkcompatibilityideographf9c7	CJK COMPATIBILITY IDEOGRAPH-F9C7
F9C8	cjkcompatibilityideographf9c8	CJK COMPATIBILITY IDEOGRAPH-F9C8
F9C9	cjkcompatibilityideographf9c9	CJK COMPATIBILITY IDEOGRAPH-F9C9
F9CA	cjkcompatibilityideographf9ca	CJK COMPATIBILITY IDEOGRAPH-F9CA
F9CB	cjkcompatibilityideographf9cb	CJK COMPATIBILITY IDEOGRAPH-F9CB
F9CC	cjkcompatibilityideographf9cc	CJK COMPATIBILITY IDEOGRAPH-F9CC
F9CD	cjkcompatibilityideographf9cd	CJK COMPATIBILITY IDEOGRAPH-F9CD
F9CE	cjkcompatibilityideographf9ce	CJK COMPATIBILITY IDEOGRAPH-F9CE
F9CF	cjkcompatibilityideographf9cf	CJK COMPATIBILITY IDEOGRAPH-F9CF
F9D0	cjkcompatibilityideographf9d0	CJK COMPATIBILITY IDEOGRAPH-F9D0
F9D1	cjkcompatibilityideographf9d1	CJK COMPATIBILITY IDEOGRAPH-F9D1
F9D2	cjkcompatibilityideographf9d2	CJK COMPATIBILITY IDEOGRAPH-F9D2
F9D3	cjkcompatibilityideographf9d3	CJK COMPATIBILITY IDEOGRAPH-F9D3
F9D4	cjkcompatibilityideographf9d4	CJK COMPATIBILITY IDEOGRAPH-F9D4
F9D5	cjkcompatibilityideographf9d5	CJK COMPATIBILITY IDEOGRAPH-F9D5
F9D6	cjkcompatibilityideographf9d6	CJK COMPATIBILITY IDEOGRAPH-F9D6
F9D7	cjkcompatibilityideographf9d7	CJK COMPATIBILITY IDEOGRAPH-F9D7
F9D8	cjkcompatibilityideographf9d8	CJK COMPATIBILITY IDEOGRAPH-F9D8
F9D9	cjkcompatibilityideographf9d9	CJK COMPATIBILITY IDEOGRAPH-F9D9
F9DA	cjkcompatibilityideographf9da	CJK COMPATIBILITY IDEOGRAPH-F9DA
F9DB	cjkcompatibilityideographf9db	CJK COMPATIBILITY IDEOGRAPH-F9DB
F9DC	cjkcompatibilityideographf9dc	CJK COMPATIBILITY IDEOGRAPH-F9DC
F9DD	cjkcompatibilityideographf9dd	CJK COMPATIBILITY IDEOGRAPH-F9DD
F9DE	cjkcompatibilityideographf9de	CJK COMPATIBILITY IDEOGRAPH-F9DE
F9DF	cjkcompatibilityideographf9df	CJK COMPATIBILITY IDEOGRAPH-F9DF
F9E0	cjkcompatibilityideographf9e0	CJK COMPATIBILITY IDEOGRAPH-F9E0
F9E1	cjkcompatibilityideographf9e1	CJK COMPATIBILITY IDEOGRAPH-F9E1
F9E2	cjkcompatibilityideographf9e2	CJK COMPATIBILITY IDEOGRAPH-F9E2
F9E3	cjkcompatibilityideographf9e3	CJK COMPATIBILITY IDEOGRAPH-F9E3
F9E4	cjkcompatibilityideographf9e4	CJK COMPATIBILITY IDEOGRAPH-F9E4
F9E5	cjkcompatibilityideographf9e5	CJK COMPATIBILITY IDEOGRAPH-F9E5
F9E6	cjkcompatibilityideographf9e6	CJK COMPATIBILITY IDEOGRAPH-F9E6
F9E7	cjkcompatibilityideographf9e7	CJK COMPATIBILITY IDEOGRAPH-F9E7
