# CJK Compatibility Ideographs Supplement 2F800 - 2FA1F
2F893	cjkcompatibilityideograph2f893	CJK COMPATIBILITY IDEOGRAPH-2F893
2F894	cjkcompatibilityideograph2f894	CJK COMPATIBILITY IDEOGRAPH-2F894
2F895	cjkcompatibilityideograph2f895	CJK COMPATIBILITY IDEOGRAPH-2F895
2F896	cjkcompatibilityideograph2f896	CJK COMPATIBILITY IDEOGRAPH-2F896
2F897	cjkcompatibilityideograph2f897	CJK COMPATIBILITY IDEOGRAPH-2F897
2F898	cjkcompatibilityideograph2f898	CJK COMPATIBILITY IDEOGRAPH-2F898
2F899	cjkcompatibilityideograph2f899	CJK COMPATIBILITY IDEOGRAPH-2F899
2F89A	cjkcompatibilityideograph2f89a	CJK COMPATIBILITY IDEOGRAPH-2F89A
2F89B	cjkcompatibilityideograph2f89b	CJK COMPATIBILITY IDEOGRAPH-2F89B
2F89C	cjkcompatibilityideograph2f89c	CJK COMPATIBILITY IDEOGRAPH-2F89C
2F89D	cjkcompatibilityideograph2f89d	CJK COMPATIBILITY IDEOGRAPH-2F89D
2F89E	cjkcompatibilityideograph2f89e	CJK COMPATIBILITY IDEOGRAPH-2F89E
2F89F	cjkcompatibilityideograph2f89f	CJK COMPATIBILITY IDEOGRAPH-2F89F
2F8A0	cjkcompatibilityideograph2f8a0	CJK COMPATIBILITY IDEOGRAPH-2F8A0
2F8A1	cjkcompatibilityideograph2f8a1	CJK COMPATIBILITY IDEOGRAPH-2F8A1
2F8A2	cjkcompatibilityideograph2f8a2	CJK COMPATIBILITY IDEOGRAPH-2F8A2
2F8A3	cjkcompatibilityideograph2f8a3	CJK COMPATIBILITY IDEOGRAPH-2F8A3
2F8A4	cjkcompatibilityideograph2f8a4	CJK COMPATIBILITY IDEOGRAPH-2F8A4
2F8A5	cjkcompatibilityideograph2f8a5	CJK COMPATIBILITY IDEOGRAPH-2F8A5
2F8A6	cjkcompatibilityideograph2f8a6	CJK COMPATIBILITY IDEOGRAPH-2F8A6
2F8A7	cjkcompatibilityideograph2f8a7	CJK COMPATIBILITY IDEOGRAPH-2F8A7
2F8A8	cjkcompatibilityideograph2f8a8	CJK COMPATIBILITY IDEOGRAPH-2F8A8
2F8A9	cjkcompatibilityideograph2f8a9	CJK COMPATIBILITY IDEOGRAPH-2F8A9
2F8AA	cjkcompatibilityideograph2f8aa	CJK COMPATIBILITY IDEOGRAPH-2F8AA
2F8AB	cjkcompatibilityideograph2f8ab	CJK COMPATIBILITY IDEOGRAPH-2F8AB
2F8AC	cjkcompatibilityideograph2f8ac	CJK COMPATIBILITY IDEOGRAPH-2F8AC
2F8AD	cjkcompatibilityideograph2f8ad	CJK COMPATIBILITY IDEOGRAPH-2F8AD
2F8AE	cjkcompatibilityideograph2f8ae	CJK COMPATIBILITY IDEOGRAPH-2F8AE
2F8AF	cjkcompatibilityideograph2f8af	CJK COMPATIBILITY IDEOGRAPH-2F8AF
2F8B0	cjkcompatibilityideograph2f8b0	CJK COMPATIBILITY IDEOGRAPH-2F8B0
2F8B1	cjkcompatibilityideograph2f8b1	CJK COMPATIBILITY IDEOGRAPH-2F8B1
