# Hangul Syllables AC00 - D7AF
AD31	hangulsyllablegwaet	HANGUL SYLLABLE GWAET
AD32	hangulsyllablegwaep	HANGUL SYLLABLE GWAEP
AD33	hangulsyllablegwaeh	HANGUL SYLLABLE GWAEH
AD34	hangulsyllablegoe	HANGUL SYLLABLE GOE
AD35	hangulsyllablegoeg	HANGUL SYLLABLE GOEG
AD36	hangulsyllablegoegg	HANGUL SYLLABLE GOEGG
AD37	hangulsyllablegoegs	HANGUL SYLLABLE GOEGS
AD38	hangulsyllablegoen	HANGUL SYLLABLE GOEN
AD39	hangulsyllablegoenj	HANGUL SYLLABLE GOENJ
AD3A	hangulsyllablegoenh	HANGUL SYLLABLE GOENH
AD3B	hangulsyllablegoed	HANGUL SYLLABLE GOED
AD3C	hangulsyllablegoel	HANGUL SYLLABLE GOEL
AD3D	hangulsyllablegoelg	HANGUL SYLLABLE GOELG
AD3E	hangulsyllablegoelm	HANGUL SYLLABLE GOELM
AD3F	hangulsyllablegoelb	HANGUL SYLLABLE GOELB
AD40	hangulsyllablegoels	HANGUL SYLLABLE GOELS
AD41	hangulsyllablegoelt	HANGUL SYLLABLE GOELT
AD42	hangulsyllablegoelp	HANGUL SYLLABLE GOELP
AD43	hangulsyllablegoelh	HANGUL SYLLABLE GOELH
AD44	hangulsyllablegoem	HANGUL SYLLABLE GOEM
AD45	hangulsyllablegoeb	HANGUL SYLLABLE GOEB
AD46	hangulsyllablegoebs	HANGUL SYLLABLE GOEBS
AD47	hangulsyllablegoes	HANGUL SYLLABLE GOES
AD48	hangulsyllablegoess	HANGUL SYLLABLE GOESS
AD49	hangulsyllablegoeng	HANGUL SYLLABLE GOENG
AD4A	hangulsyllablegoej	HANGUL SYLLABLE GOEJ
AD4B	hangulsyllablegoec	HANGUL SYLLABLE GOEC
AD4C	hangulsyllablegoek	HANGUL SYLLABLE GOEK
AD4D	hangulsyllablegoet	HANGUL SYLLABLE GOET
AD4E	hangulsyllablegoep	HANGUL SYLLABLE GOEP
AD4F	hangulsyllablegoeh	HANGUL SYLLABLE GOEH
AD50	hangulsyllablegyo	HANGUL SYLLABLE GYO
AD51	hangulsyllablegyog	HANGUL SYLLABLE GYOG
AD52	hangulsyllablegyogg	HANGUL SYLLABLE GYOGG
AD53	hangulsyllablegyogs	HANGUL SYLLABLE GYOGS
AD54	hangulsyllablegyon	HANGUL SYLLABLE GYON
AD55	hangulsyllablegyonj	HANGUL SYLLABLE GYONJ
AD56	hangulsyllablegyonh	HANGUL SYLLABLE GYONH
AD57	hangulsyllablegyod	HANGUL SYLLABLE GYOD
AD58	hangulsyllablegyol	HANGUL SYLLABLE GYOL
AD59	hangulsyllablegyolg	HANGUL SYLLABLE GYOLG
AD5A	hangulsyllablegyolm	HANGUL SYLLABLE GYOLM
AD5B	hangulsyllablegyolb	HANGUL SYLLABLE GYOLB
AD5C	hangulsyllablegyols	HANGUL SYLLABLE GYOLS
AD5D	hangulsyllablegyolt	HANGUL SYLLABLE GYOLT
AD5E	hangulsyllablegyolp	HANGUL SYLLABLE GYOLP
AD5F	hangulsyllablegyolh	HANGUL SYLLABLE GYOLH
AD60	hangulsyllablegyom	HANGUL SYLLABLE GYOM
AD61	hangulsyllablegyob	HANGUL SYLLABLE GYOB
AD62	hangulsyllablegyobs	HANGUL SYLLABLE GYOBS
AD63	hangulsyllablegyos	HANGUL SYLLABLE GYOS
AD64	hangulsyllablegyoss	HANGUL SYLLABLE GYOSS
AD65	hangulsyllablegyong	HANGUL SYLLABLE GYONG
AD66	hangulsyllablegyoj	HANGUL SYLLABLE GYOJ
AD67	hangulsyllablegyoc	HANGUL SYLLABLE GYOC
AD68	hangulsyllablegyok	HANGUL SYLLABLE GYOK
AD69	hangulsyllablegyot	HANGUL SYLLABLE GYOT
AD6A	hangulsyllablegyop	HANGUL SYLLABLE GYOP
AD6B	hangulsyllablegyoh	HANGUL SYLLABLE GYOH
AD6C	hangulsyllablegu	HANGUL SYLLABLE GU
AD6D	hangulsyllablegug	HANGUL SYLLABLE GUG
AD6E	hangulsyllablegugg	HANGUL SYLLABLE GUGG
AD6F	hangulsyllablegugs	HANGUL SYLLABLE GUGS
AD70	hangulsyllablegun	HANGUL SYLLABLE GUN
AD71	hangulsyllablegunj	HANGUL SYLLABLE GUNJ
AD72	hangulsyllablegunh	HANGUL SYLLABLE GUNH
AD73	hangulsyllablegud	HANGUL SYLLABLE GUD
AD74	hangulsyllablegul	HANGUL SYLLABLE GUL
AD75	hangulsyllablegulg	HANGUL SYLLABLE GULG
AD76	hangulsyllablegulm	HANGUL SYLLABLE GULM
AD77	hangulsyllablegulb	HANGUL SYLLABLE GULB
AD78	hangulsyllableguls	HANGUL SYLLABLE GULS
AD79	hangulsyllablegult	HANGUL SYLLABLE GULT
AD7A	hangulsyllablegulp	HANGUL SYLLABLE GULP
AD7B	hangulsyllablegulh	HANGUL SYLLABLE GULH
AD7C	hangulsyllablegum	HANGUL SYLLABLE GUM
AD7D	hangulsyllablegub	HANGUL SYLLABLE GUB
AD7E	hangulsyllablegubs	HANGUL SYLLABLE GUBS
AD7F	hangulsyllablegus	HANGUL SYLLABLE GUS
AD80	hangulsyllableguss	HANGUL SYLLABLE GUSS
AD81	hangulsyllablegung	HANGUL SYLLABLE GUNG
AD82	hangulsyllableguj	HANGUL SYLLABLE GUJ
AD83	hangulsyllableguc	HANGUL SYLLABLE GUC
AD84	hangulsyllableguk	HANGUL SYLLABLE GUK
AD85	hangulsyllablegut	HANGUL SYLLABLE GUT
AD86	hangulsyllablegup	HANGUL SYLLABLE GUP
AD87	hangulsyllableguh	HANGUL SYLLABLE GUH
AD88	hangulsyllablegweo	HANGUL SYLLABLE GWEO
AD89	hangulsyllablegweog	HANGUL SYLLABLE GWEOG
AD8A	hangulsyllablegweogg	HANGUL SYLLABLE GWEOGG
AD8B	hangulsyllablegweogs	HANGUL SYLLABLE GWEOGS
AD8C	hangulsyllablegweon	HANGUL SYLLABLE GWEON
AD8D	hangulsyllablegweonj	HANGUL SYLLABLE GWEONJ
AD8E	hangulsyllablegweonh	HANGUL SYLLABLE GWEONH
AD8F	hangulsyllablegweod	HANGUL SYLLABLE GWEOD
AD90	hangulsyllablegweol	HANGUL SYLLABLE GWEOL
AD91	hangulsyllablegweolg	HANGUL SYLLABLE GWEOLG
AD92	hangulsyllablegweolm	HANGUL SYLLABLE GWEOLM
AD93	hangulsyllablegweolb	HANGUL SYLLABLE GWEOLB
AD94	hangulsyllablegweols	HANGUL SYLLABLE GWEOLS
AD95	hangulsyllablegweolt	HANGUL SYLLABLE GWEOLT
AD96	hangulsyllablegweolp	HANGUL SYLLABLE GWEOLP
AD97	hangulsyllablegweolh	HANGUL SYLLABLE GWEOLH
AD98	hangulsyllablegweom	HANGUL SYLLABLE GWEOM
AD99	hangulsyllablegweob	HANGUL SYLLABLE GWEOB
AD9A	hangulsyllablegweobs	HANGUL SYLLABLE GWEOBS
AD9B	hangulsyllablegweos	HANGUL SYLLABLE GWEOS
AD9C	hangulsyllablegweoss	HANGUL SYLLABLE GWEOSS
AD9D	hangulsyllablegweong	HANGUL SYLLABLE GWEONG
AD9E	hangulsyllablegweoj	HANGUL SYLLABLE GWEOJ
AD9F	hangulsyllablegweoc	HANGUL SYLLABLE GWEOC
ADA0	hangulsyllablegweok	HANGUL SYLLABLE GWEOK
ADA1	hangulsyllablegweot	HANGUL SYLLABLE GWEOT
ADA2	hangulsyllablegweop	HANGUL SYLLABLE GWEOP
ADA3	hangulsyllablegweoh	HANGUL SYLLABLE GWEOH
