# Unified Canadian Aboriginal Syllabics 1400 - 167F
14C4	canadiansyllabicsno	CANADIAN SYLLABICS NO
14C5	canadiansyllabicsnoo	CANADIAN SYLLABICS NOO
14C6	canadiansyllabicsycreenoo	CANADIAN SYLLABICS Y-CREE NOO
14C7	canadiansyllabicsna	CANADIAN SYLLABICS NA
14C8	canadiansyllabicsnaa	CANADIAN SYLLABICS NAA
14C9	canadiansyllabicsnwe	CANADIAN SYLLABICS NWE
14CA	canadiansyllabicswestcreenwe	CANADIAN SYLLABICS WEST-CREE NWE
14CB	canadiansyllabicsnwa	CANADIAN SYLLABICS NWA
14CC	canadiansyllabicswestcreenwa	CANADIAN SYLLABICS WEST-CREE NWA
14CD	canadiansyllabicsnwaa	CANADIAN SYLLABICS NWAA
14CE	canadiansyllabicswestcreenwaa	CANADIAN SYLLABICS WEST-CREE NWAA
14CF	canadiansyllabicsnaskapinwaa	CANADIAN SYLLABICS NASKAPI NWAA
14D0	canadiansyllabicsn	CANADIAN SYLLABICS N
14D1	canadiansyllabicscarrierng	CANADIAN SYLLABICS CARRIER NG
14D2	canadiansyllabicsnh	CANADIAN SYLLABICS NH
14D3	canadiansyllabicsle	CANADIAN SYLLABICS LE
14D4	canadiansyllabicslaai	CANADIAN SYLLABICS LAAI
14D5	canadiansyllabicsli	CANADIAN SYLLABICS LI
14D6	canadiansyllabicslii	CANADIAN SYLLABICS LII
14D7	canadiansyllabicslo	CANADIAN SYLLABICS LO
14D8	canadiansyllabicsloo	CANADIAN SYLLABICS LOO
14D9	canadiansyllabicsycreeloo	CANADIAN SYLLABICS Y-CREE LOO
14DA	canadiansyllabicsla	CANADIAN SYLLABICS LA
14DB	canadiansyllabicslaa	CANADIAN SYLLABICS LAA
14DC	canadiansyllabicslwe	CANADIAN SYLLABICS LWE
14DD	canadiansyllabicswestcreelwe	CANADIAN SYLLABICS WEST-CREE LWE
14DE	canadiansyllabicslwi	CANADIAN SYLLABICS LWI
14DF	canadiansyllabicswestcreelwi	CANADIAN SYLLABICS WEST-CREE LWI
14E0	canadiansyllabicslwii	CANADIAN SYLLABICS LWII
14E1	canadiansyllabicswestcreelwii	CANADIAN SYLLABICS WEST-CREE LWII
14E2	canadiansyllabicslwo	CANADIAN SYLLABICS LWO
14E3	canadiansyllabicswestcreelwo	CANADIAN SYLLABICS WEST-CREE LWO
14E4	canadiansyllabicslwoo	CANADIAN SYLLABICS LWOO
14E5	canadiansyllabicswestcreelwoo	CANADIAN SYLLABICS WEST-CREE LWOO
14E6	canadiansyllabicslwa	CANADIAN SYLLABICS LWA
14E7	canadiansyllabicswestcreelwa	CANADIAN SYLLABICS WEST-CREE LWA
