# Cuneiform 12000 - 123FF
120F7	cuneiformsigngan2	CUNEIFORM SIGN GAN2
120F8	cuneiformsigngan2tenu	CUNEIFORM SIGN GAN2 TENU
120F9	cuneiformsigngan2overgan2	CUNEIFORM SIGN GAN2 OVER GAN2
120FA	cuneiformsigngan2crossinggan2	CUNEIFORM SIGN GAN2 CROSSING GAN2
120FB	cuneiformsigngar	CUNEIFORM SIGN GAR
120FC	cuneiformsigngar3	CUNEIFORM SIGN GAR3
120FD	cuneiformsigngashan	CUNEIFORM SIGN GASHAN
120FE	cuneiformsigngeshtin	CUNEIFORM SIGN GESHTIN
120FF	cuneiformsigngeshtintimeskur	CUNEIFORM SIGN GESHTIN TIMES KUR
12100	cuneiformsigngi	CUNEIFORM SIGN GI
12101	cuneiformsigngitimese	CUNEIFORM SIGN GI TIMES E
12102	cuneiformsigngitimesu	CUNEIFORM SIGN GI TIMES U
12103	cuneiformsigngicrossinggi	CUNEIFORM SIGN GI CROSSING GI
12104	cuneiformsigngi4	CUNEIFORM SIGN GI4
12105	cuneiformsigngi4overgi4	CUNEIFORM SIGN GI4 OVER GI4
12106	cuneiformsigngi4crossinggi4	CUNEIFORM SIGN GI4 CROSSING GI4
12107	cuneiformsigngidim	CUNEIFORM SIGN GIDIM
12108	cuneiformsigngir2	CUNEIFORM SIGN GIR2
12109	cuneiformsigngir2gunu	CUNEIFORM SIGN GIR2 GUNU
1210A	cuneiformsigngir3	CUNEIFORM SIGN GIR3
1210B	cuneiformsigngir3timesaplusigi	CUNEIFORM SIGN GIR3 TIMES A PLUS IGI
1210C	cuneiformsigngir3timesgan2tenu	CUNEIFORM SIGN GIR3 TIMES GAN2 TENU
1210D	cuneiformsigngir3timesigi	CUNEIFORM SIGN GIR3 TIMES IGI
1210E	cuneiformsigngir3timesluplusigi	CUNEIFORM SIGN GIR3 TIMES LU PLUS IGI
1210F	cuneiformsigngir3timespa	CUNEIFORM SIGN GIR3 TIMES PA
12110	cuneiformsigngisal	CUNEIFORM SIGN GISAL
12111	cuneiformsigngish	CUNEIFORM SIGN GISH
12112	cuneiformsigngishcrossinggish	CUNEIFORM SIGN GISH CROSSING GISH
12113	cuneiformsigngishtimesbad	CUNEIFORM SIGN GISH TIMES BAD
12114	cuneiformsigngishtimestak4	CUNEIFORM SIGN GISH TIMES TAK4
12115	cuneiformsigngishtenu	CUNEIFORM SIGN GISH TENU
12116	cuneiformsigngu	CUNEIFORM SIGN GU
12117	cuneiformsigngucrossinggu	CUNEIFORM SIGN GU CROSSING GU
12118	cuneiformsigngu2	CUNEIFORM SIGN GU2
12119	cuneiformsigngu2timeskak	CUNEIFORM SIGN GU2 TIMES KAK
1211A	cuneiformsigngu2timeskaktimesigigunu	CUNEIFORM SIGN GU2 TIMES KAK TIMES IGI GUNU
1211B	cuneiformsigngu2timesnun	CUNEIFORM SIGN GU2 TIMES NUN
1211C	cuneiformsigngu2timessalplustug2	CUNEIFORM SIGN GU2 TIMES SAL PLUS TUG2
1211D	cuneiformsigngu2gunu	CUNEIFORM SIGN GU2 GUNU
1211E	cuneiformsigngud	CUNEIFORM SIGN GUD
1211F	cuneiformsigngudtimesapluskur	CUNEIFORM SIGN GUD TIMES A PLUS KUR
12120	cuneiformsigngudtimeskur	CUNEIFORM SIGN GUD TIMES KUR
12121	cuneiformsigngudovergudlugal	CUNEIFORM SIGN GUD OVER GUD LUGAL
12122	cuneiformsigngul	CUNEIFORM SIGN GUL
12123	cuneiformsigngum	CUNEIFORM SIGN GUM
12124	cuneiformsigngumtimesshe	CUNEIFORM SIGN GUM TIMES SHE
12125	cuneiformsigngur	CUNEIFORM SIGN GUR
12126	cuneiformsigngur7	CUNEIFORM SIGN GUR7
12127	cuneiformsigngurun	CUNEIFORM SIGN GURUN
12128	cuneiformsigngurush	CUNEIFORM SIGN GURUSH
12129	cuneiformsignha	CUNEIFORM SIGN HA
1212A	cuneiformsignhatenu	CUNEIFORM SIGN HA TENU
1212B	cuneiformsignhagunu	CUNEIFORM SIGN HA GUNU
1212C	cuneiformsignhal	CUNEIFORM SIGN HAL
1212D	cuneiformsignhi	CUNEIFORM SIGN HI
1212E	cuneiformsignhitimesash	CUNEIFORM SIGN HI TIMES ASH
1212F	cuneiformsignhitimesash2	CUNEIFORM SIGN HI TIMES ASH2
12130	cuneiformsignhitimesbad	CUNEIFORM SIGN HI TIMES BAD
12131	cuneiformsignhitimesdish	CUNEIFORM SIGN HI TIMES DISH
12132	cuneiformsignhitimesgad	CUNEIFORM SIGN HI TIMES GAD
12133	cuneiformsignhitimeskin	CUNEIFORM SIGN HI TIMES KIN
12134	cuneiformsignhitimesnun	CUNEIFORM SIGN HI TIMES NUN
12135	cuneiformsignhitimesshe	CUNEIFORM SIGN HI TIMES SHE
12136	cuneiformsignhitimesu	CUNEIFORM SIGN HI TIMES U
12137	cuneiformsignhu	CUNEIFORM SIGN HU
12138	cuneiformsignhub2	CUNEIFORM SIGN HUB2
12139	cuneiformsignhub2timesan	CUNEIFORM SIGN HUB2 TIMES AN
1213A	cuneiformsignhub2timeshal	CUNEIFORM SIGN HUB2 TIMES HAL
1213B	cuneiformsignhub2timeskaskal	CUNEIFORM SIGN HUB2 TIMES KASKAL
1213C	cuneiformsignhub2timeslish	CUNEIFORM SIGN HUB2 TIMES LISH
1213D	cuneiformsignhub2timesud	CUNEIFORM SIGN HUB2 TIMES UD
1213E	cuneiformsignhul2	CUNEIFORM SIGN HUL2
1213F	cuneiformsigni	CUNEIFORM SIGN I
12140	cuneiformsignia	CUNEIFORM SIGN I A
12141	cuneiformsignib	CUNEIFORM SIGN IB
12142	cuneiformsignidim	CUNEIFORM SIGN IDIM
12143	cuneiformsignidimoveridimbur	CUNEIFORM SIGN IDIM OVER IDIM BUR
12144	cuneiformsignidimoveridimsquared	CUNEIFORM SIGN IDIM OVER IDIM SQUARED
12145	cuneiformsignig	CUNEIFORM SIGN IG
12146	cuneiformsignigi	CUNEIFORM SIGN IGI
12147	cuneiformsignigidib	CUNEIFORM SIGN IGI DIB
12148	cuneiformsignigiri	CUNEIFORM SIGN IGI RI
12149	cuneiformsignigioverigishirovershirudoverud	CUNEIFORM SIGN IGI OVER IGI SHIR OVER SHIR UD OVER UD
1214A	cuneiformsignigigunu	CUNEIFORM SIGN IGI GUNU
1214B	cuneiformsignil	CUNEIFORM SIGN IL
1214C	cuneiformsigniltimesgan2tenu	CUNEIFORM SIGN IL TIMES GAN2 TENU
1214D	cuneiformsignil2	CUNEIFORM SIGN IL2
1214E	cuneiformsignim	CUNEIFORM SIGN IM
1214F	cuneiformsignimtimestak4	CUNEIFORM SIGN IM TIMES TAK4
12150	cuneiformsignimcrossingim	CUNEIFORM SIGN IM CROSSING IM
12151	cuneiformsignimopposingim	CUNEIFORM SIGN IM OPPOSING IM
