# Miscellaneous Symbols and Pictographs 1F300 - 1F5FF
1F39C	beamedAscendingMusicalNotes	BEAMED ASCENDING MUSICAL NOTES
1F39D	beamedDescendingMusicalNotes	BEAMED DESCENDING MUSICAL NOTES
1F39E	filmFrames	FILM FRAMES
1F39F	admissionTickets	ADMISSION TICKETS
1F3A0	carouselHorse	CAROUSEL HORSE
1F3A1	ferrisWheel	FERRIS WHEEL
1F3A2	rollerCoaster	ROLLER COASTER
1F3A3	fishingPoleAndFish	FISHING POLE AND FISH
1F3A4	microphone	MICROPHONE
1F3A5	movieCamera	MOVIE CAMERA
1F3A6	cinema	CINEMA
1F3A7	headphone	HEADPHONE
1F3A8	artistPalette	ARTIST PALETTE
1F3A9	topHat	TOP HAT
1F3AA	circusTent	CIRCUS TENT
1F3AB	ticket	TICKET
1F3AC	clapperBoard	CLAPPER BOARD
1F3AD	performingArts	PERFORMING ARTS
1F3AE	videoGame	VIDEO GAME
1F3AF	directHit	DIRECT HIT
1F3B0	slotMachine	SLOT MACHINE
1F3B1	billiards	BILLIARDS
1F3B2	gameDie	GAME DIE
1F3B3	bowling	BOWLING
1F3B4	flowerPlayingCards	FLOWER PLAYING CARDS
1F3B5	musicalNote	MUSICAL NOTE
1F3B6	multipleMusicalNotes	MULTIPLE MUSICAL NOTES
1F3B7	saxophone	SAXOPHONE
1F3B8	guitar	GUITAR
1F3B9	musicalKeyboard	MUSICAL KEYBOARD
1F3BA	trumpet	TRUMPET
1F3BB	violin	VIOLIN
1F3BC	musicalScore	MUSICAL SCORE
1F3BD	runningShirtSash	RUNNING SHIRT WITH SASH
1F3BE	tennisRacquetAndBall	TENNIS RACQUET AND BALL
1F3BF	skiAndSkiBoot	SKI AND SKI BOOT
1F3C0	basketballAndHoop	BASKETBALL AND HOOP
1F3C1	chequeredFlag	CHEQUERED FLAG
1F3C2	snowboarder	SNOWBOARDER
1F3C3	runner	RUNNER
1F3C4	surfer	SURFER
1F3C5	sportsMedal	SPORTS MEDAL
1F3C6	trophy	TROPHY
1F3C7	horseRacing	HORSE RACING
1F3C8	americanFootball	AMERICAN FOOTBALL
1F3C9	rugbyFootball	RUGBY FOOTBALL
1F3CA	swimmer	SWIMMER
1F3CB	weightLifter	WEIGHT LIFTER
1F3CC	golfer	GOLFER
1F3CD	racingMotorcycle	RACING MOTORCYCLE
1F3CE	racingCar	RACING CAR
1F3CF	cricketBatAndBall	CRICKET BAT AND BALL
1F3D0	volleyball	VOLLEYBALL
1F3D1	fieldHockeyStickAndBall	FIELD HOCKEY STICK AND BALL
1F3D2	iceHockeyStickAndPuck	ICE HOCKEY STICK AND PUCK
1F3D3	tableTennisPaddleAndBall	TABLE TENNIS PADDLE AND BALL
1F3D4	snowcappedMountain	SNOW CAPPED MOUNTAIN
1F3D5	camping	CAMPING
