# Ethiopic 01200 - 0137F
12E7	ethi:zhwa	ETHIOPIC SYLLABLE ZHWA
12E8	ethi:ya	ETHIOPIC SYLLABLE YA
12E9	ethi:yu	ETHIOPIC SYLLABLE YU
12EA	ethi:yi	ETHIOPIC SYLLABLE YI
12EB	ethi:yaa	ETHIOPIC SYLLABLE YAA
12EC	ethi:yee	ETHIOPIC SYLLABLE YEE
12ED	ethi:ye	ETHIOPIC SYLLABLE YE
12EE	ethi:yo	ETHIOPIC SYLLABLE YO
12EF	ethi:yoa	ETHIOPIC SYLLABLE YOA
12F0	ethi:da	ETHIOPIC SYLLABLE DA
12F1	ethi:du	ETHIOPIC SYLLABLE DU
12F2	ethi:di	ETHIOPIC SYLLABLE DI
12F3	ethi:daa	ETHIOPIC SYLLABLE DAA
12F4	ethi:dee	ETHIOPIC SYLLABLE DEE
12F5	ethi:de	ETHIOPIC SYLLABLE DE
12F6	ethi:do	ETHIOPIC SYLLABLE DO
12F7	ethi:dwa	ETHIOPIC SYLLABLE DWA
12F8	ethi:dda	ETHIOPIC SYLLABLE DDA
12F9	ethi:ddu	ETHIOPIC SYLLABLE DDU
12FA	ethi:ddi	ETHIOPIC SYLLABLE DDI
12FB	ethi:ddaa	ETHIOPIC SYLLABLE DDAA
12FC	ethi:ddee	ETHIOPIC SYLLABLE DDEE
12FD	ethi:dde	ETHIOPIC SYLLABLE DDE
12FE	ethi:ddo	ETHIOPIC SYLLABLE DDO
12FF	ethi:ddwa	ETHIOPIC SYLLABLE DDWA
1300	ethi:ja	ETHIOPIC SYLLABLE JA
1301	ethi:ju	ETHIOPIC SYLLABLE JU
1302	ethi:ji	ETHIOPIC SYLLABLE JI
1303	ethi:jaa	ETHIOPIC SYLLABLE JAA
1304	ethi:jee	ETHIOPIC SYLLABLE JEE
1305	ethi:je	ETHIOPIC SYLLABLE JE
1306	ethi:jo	ETHIOPIC SYLLABLE JO
1307	ethi:jwa	ETHIOPIC SYLLABLE JWA
1308	ethi:ga	ETHIOPIC SYLLABLE GA
1309	ethi:gu	ETHIOPIC SYLLABLE GU
130A	ethi:gi	ETHIOPIC SYLLABLE GI
130B	ethi:gaa	ETHIOPIC SYLLABLE GAA
130C	ethi:gee	ETHIOPIC SYLLABLE GEE
130D	ethi:ge	ETHIOPIC SYLLABLE GE
130E	ethi:go	ETHIOPIC SYLLABLE GO
130F	ethi:goa	ETHIOPIC SYLLABLE GOA
1310	ethi:gwa	ETHIOPIC SYLLABLE GWA
1312	ethi:gwi	ETHIOPIC SYLLABLE GWI
1313	ethi:gwaa	ETHIOPIC SYLLABLE GWAA
1314	ethi:gwee	ETHIOPIC SYLLABLE GWEE
1315	ethi:gwe	ETHIOPIC SYLLABLE GWE
1318	ethi:gga	ETHIOPIC SYLLABLE GGA
1319	ethi:ggu	ETHIOPIC SYLLABLE GGU
131A	ethi:ggi	ETHIOPIC SYLLABLE GGI
131B	ethi:ggaa	ETHIOPIC SYLLABLE GGAA
131C	ethi:ggee	ETHIOPIC SYLLABLE GGEE
131D	ethi:gge	ETHIOPIC SYLLABLE GGE
131E	ethi:ggo	ETHIOPIC SYLLABLE GGO
131F	ethi:ggwaa	ETHIOPIC SYLLABLE GGWAA
1320	ethi:tha	ETHIOPIC SYLLABLE THA
1321	ethi:thu	ETHIOPIC SYLLABLE THU
1322	ethi:thi	ETHIOPIC SYLLABLE THI
1323	ethi:thaa	ETHIOPIC SYLLABLE THAA
1324	ethi:thee	ETHIOPIC SYLLABLE THEE
1325	ethi:the	ETHIOPIC SYLLABLE THE
1326	ethi:tho	ETHIOPIC SYLLABLE THO
1327	ethi:thwa	ETHIOPIC SYLLABLE THWA
1328	ethi:cha	ETHIOPIC SYLLABLE CHA
1329	ethi:chu	ETHIOPIC SYLLABLE CHU
132A	ethi:chi	ETHIOPIC SYLLABLE CHI
132B	ethi:chaa	ETHIOPIC SYLLABLE CHAA
132C	ethi:chee	ETHIOPIC SYLLABLE CHEE
132D	ethi:che	ETHIOPIC SYLLABLE CHE
132E	ethi:cho	ETHIOPIC SYLLABLE CHO
132F	ethi:chwa	ETHIOPIC SYLLABLE CHWA
1330	ethi:pha	ETHIOPIC SYLLABLE PHA
1331	ethi:phu	ETHIOPIC SYLLABLE PHU
1332	ethi:phi	ETHIOPIC SYLLABLE PHI
1333	ethi:phaa	ETHIOPIC SYLLABLE PHAA
1334	ethi:phee	ETHIOPIC SYLLABLE PHEE
1335	ethi:phe	ETHIOPIC SYLLABLE PHE
1336	ethi:pho	ETHIOPIC SYLLABLE PHO
1337	ethi:phwa	ETHIOPIC SYLLABLE PHWA
1338	ethi:tsa	ETHIOPIC SYLLABLE TSA
1339	ethi:tsu	ETHIOPIC SYLLABLE TSU
133A	ethi:tsi	ETHIOPIC SYLLABLE TSI
133B	ethi:tsaa	ETHIOPIC SYLLABLE TSAA
133C	ethi:tsee	ETHIOPIC SYLLABLE TSEE
133D	ethi:tse	ETHIOPIC SYLLABLE TSE
133E	ethi:tso	ETHIOPIC SYLLABLE TSO
133F	ethi:tswa	ETHIOPIC SYLLABLE TSWA
1340	ethi:tza	ETHIOPIC SYLLABLE TZA
1341	ethi:tzu	ETHIOPIC SYLLABLE TZU
1342	ethi:tzi	ETHIOPIC SYLLABLE TZI
1343	ethi:tzaa	ETHIOPIC SYLLABLE TZAA
1344	ethi:tzee	ETHIOPIC SYLLABLE TZEE
1345	ethi:tze	ETHIOPIC SYLLABLE TZE
1346	ethi:tzo	ETHIOPIC SYLLABLE TZO
1347	ethi:tzoa	ETHIOPIC SYLLABLE TZOA
1348	ethi:fa	ETHIOPIC SYLLABLE FA
1349	ethi:fu	ETHIOPIC SYLLABLE FU
134A	ethi:fi	ETHIOPIC SYLLABLE FI
134B	ethi:faa	ETHIOPIC SYLLABLE FAA
134C	ethi:fee	ETHIOPIC SYLLABLE FEE
134D	ethi:fe	ETHIOPIC SYLLABLE FE
134E	ethi:fo	ETHIOPIC SYLLABLE FO
134F	ethi:fwa	ETHIOPIC SYLLABLE FWA
1350	ethi:pa	ETHIOPIC SYLLABLE PA
1351	ethi:pu	ETHIOPIC SYLLABLE PU
1352	ethi:pi	ETHIOPIC SYLLABLE PI
1353	ethi:paa	ETHIOPIC SYLLABLE PAA
1354	ethi:pee	ETHIOPIC SYLLABLE PEE
1355	ethi:pe	ETHIOPIC SYLLABLE PE
1356	ethi:po	ETHIOPIC SYLLABLE PO
1357	ethi:pwa	ETHIOPIC SYLLABLE PWA
1358	ethi:rya	ETHIOPIC SYLLABLE RYA
1359	ethi:mya	ETHIOPIC SYLLABLE MYA
135A	ethi:fya	ETHIOPIC SYLLABLE FYA
135D	ethi:geminationandvowellengthmarkcmb	ETHIOPIC COMBINING GEMINATION AND VOWEL LENGTH MARK
135E	ethi:vowellengthmarkcmb	ETHIOPIC COMBINING VOWEL LENGTH MARK
135F	ethi:geminationmarkcmb	ETHIOPIC COMBINING GEMINATION MARK
1360	ethi:sectionmark	ETHIOPIC SECTION MARK
1361	ethi:wordspace	ETHIOPIC WORDSPACE
