# Mathematical Operators 02200 - 022FF
22F4	elementsmallverticalbarhorizontalstroke	SMALL ELEMENT OF WITH VERTICAL BAR AT END OF HORIZONTAL STROKE
22F5	elementdotabove	ELEMENT OF WITH DOT ABOVE
22F6	elementoverbar	ELEMENT OF WITH OVERBAR
22F7	elementoverbarsmall	SMALL ELEMENT OF WITH OVERBAR
22F8	elementunderbar	ELEMENT OF WITH UNDERBAR
22F9	elementtwoshorizontalstroke	ELEMENT OF WITH TWO HORIZONTAL STROKES
22FA	containslonghorizontalstroke	CONTAINS WITH LONG HORIZONTAL STROKE
22FB	containsverticalbarhorizontalstroke	CONTAINS WITH VERTICAL BAR AT END OF HORIZONTAL STROKE
22FC	containssmallverticalbarhorizontalstroke	SMALL CONTAINS WITH VERTICAL BAR AT END OF HORIZONTAL STROKE
22FD	containsoverbar	CONTAINS WITH OVERBAR
22FE	containsoverbarsmall	SMALL CONTAINS WITH OVERBAR
22FF	znotationbagmembership	Z NOTATION BAG MEMBERSHIP
